Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2000-01-03,0.7898841596356192,0.8473128626610195,0.765876783368589,0.8430765271186829,535796800
2000-01-04,0.815303520863622,0.8331909455959481,0.7621111572851443,0.7719966769218445,512377600
2000-01-05,0.781410734913643,0.8327203458038124,0.7757623541955361,0.7832935452461243,778321600
2000-01-06,0.7992989255776866,0.8058887358490333,0.7155085206031799,0.7155085206031799,767972800
2000-01-07,0.7268062193250892,0.7606991158525374,0.7192750287870664,0.7494014501571655,460734400
2000-01-10,0.768230246632849,0.770113056813958,0.7136257849000408,0.7362210154533386,505064000
2000-01-11,0.7225698155119594,0.7484599473836135,0.6816164502872395,0.6985624432563782,441548800
2000-01-12,0.7155086431860778,0.7192751188148562,0.6514893172755766,0.6566678881645203,976068800
2000-01-13,0.7116247375457067,0.7437520689632314,0.6966796108115553,0.7286888360977173,1032684800
2000-01-14,0.7531670726617501,0.7701130684586291,0.7484600722774706,0.7564619779586792,390376000
2000-01-18,0.7606989038710731,0.7983573600337076,0.7564617650528891,0.7828226089477539,459177600
2000-01-19,0.7955324383580391,0.8190690964959576,0.7785863944428557,0.8025937676429749,597643200
2000-01-20,0.8699080530727306,0.9150977083001769,0.854844868183136,0.854844868183136,1831132800
2000-01-21,0.860493249300577,0.860493249300577,0.8298960638256875,0.8383694887161255,495924800
2000-01-24,0.8167155565161309,0.8491954985654233,0.7917668039275692,0.8002402782440186,440876800
2000-01-25,0.7908256645301583,0.8520208523914301,0.7710554251516377,0.8454301357269287,497145600
2000-01-26,0.8284839973425767,0.8600225638265867,0.8266012374324264,0.829896092414856,367158400
2000-01-27,0.8195398584604688,0.8510792797476919,0.8058887680826057,0.8284839987754822,340144000
2000-01-28,0.8148328565592206,0.8350737561843121,0.7578748225225915,0.7654060125350952,423348800
2000-01-31,0.7606990118652225,0.782352005026168,0.7117428862053449,0.7814105749130249,701680000
2000-02-01,0.7832934241094509,0.790825468743934,0.7531670053480412,0.7550497651100159,318035200
2000-02-02,0.7588163146398287,0.7691716954673999,0.7305717981113795,0.7442229390144348,464195200
2000-02-03,0.7555205283680713,0.785177138968386,0.7550498132578966,0.7781158089637756,475193600
2000-02-04,0.7828229551225326,0.8284841393753433,0.7804694294123639,0.8134209513664246,425320000
2000-02-07,0.8134209394741068,0.8604934138836076,0.7978869862150525,0.8590812683105469,441067200
2000-02-08,0.8586104001969949,0.8746150155172313,0.8378988349222504,0.8652011156082153,408643200
2000-02-09,0.8595519300767286,0.882147162869447,0.8468422184744177,0.8482542634010315,299364800
2000-02-10,0.8501378177375468,0.8576690582270244,0.8284839678106916,0.854844868183136,302982400
2000-02-11,0.8557863057668984,0.8595519264866004,0.8153036455995729,0.8190692663192749,212251200
2000-02-14,0.8233055007324198,0.8727322989356159,0.8181277851345758,0.8722615838050842,367539200
2000-02-15,0.8680252942401092,0.9033302340757112,0.8675545791391361,0.896268904209137,485744000
2000-02-16,0.8868539436996518,0.8896789377201728,0.8444884859044886,0.8595516681671143,378246400
2000-02-17,0.8675545905854694,0.8699080655627233,0.8520206903724165,0.8652011156082153,289497600
2000-02-18,0.8633180869303722,0.8689664659984542,0.8350736273445245,0.8378986716270447,233441600
2000-02-22,0.829425354325208,0.8807349567869822,0.8035351704168404,0.8571982979774475,422296000
2000-02-23,0.8528440448441671,0.8962690008306035,0.8360152491198588,0.8755565285682678,473099200
2000-02-24,0.8835590899672174,0.8972102285189305,0.8416642945005687,0.8676717281341553,376432000
2000-02-25,0.8647304174187782,0.8812057481685247,0.8294254261473247,0.8313081860542297,249144000
2000-02-28,0.8294255809131668,0.8661426238263126,0.8162451529601147,0.8529621958732605,328328000
2000-02-29,0.8553153861197968,0.8830883783773159,0.8477834425703885,0.863318145275116,368961600
2000-03-01,0.8929740309902278,0.9946510104025641,0.8925033158724237,0.9814705848693848,1077003200
2000-03-02,0.9565227702817597,0.9635832965711344,0.9089787290203113,0.9188642501831055,311259200
2000-03-03,0.9405174398182817,0.9658197172519342,0.9038012475851256,0.9640541076660156,323366400
2000-03-06,0.9489908676429659,0.9725275342470764,0.9414588205865354,0.9466373920440674,210560000
2000-03-07,0.9522854039336304,0.9598174480653773,0.9122734180869279,0.9254538416862488,273011200
2000-03-08,0.9254540613120318,0.933456822391708,0.8929741118890391,0.9188642501831055,271230400
2000-03-09,0.910390570419563,0.9414583639841702,0.8906203391668893,0.9207468032836914,276718400
2000-03-10,0.9165103774133655,0.9635828786277874,0.9113318089838505,0.9471075534820557,248606400
2000-03-13,0.9198054591918289,0.952756115847092,0.9000344216233022,0.9136855602264404,303956800
2000-03-14,0.9129795980002555,0.9358102371128767,0.858610441825254,0.8604933023452759,428579200
2000-03-15,0.8708495781684338,0.905683806658335,0.8595519117338296,0.8755565285682678,443609600
2000-03-16,0.8835592391114574,0.9188641807396888,0.8623760529054489,0.915568470954895,378100800
2000-03-17,0.904742172734974,0.9414583444595337,0.9009756483181623,0.9414583444595337,305043200
2000-03-20,0.9301619608415951,0.950873529440051,0.9216884842005139,0.9263955354690552,204489600
2000-03-21,0.923100555465814,1.0299560106640682,0.9160400294105101,1.0163049697875977,524328000
2000-03-22,1.0000647676408112,1.0873853779746891,0.9908852708747097,1.0859724283218384,567996800
2000-03-23,1.0694971562169233,1.1325750894950617,1.0544339717836226,1.0643194913864136,562564800
2000-03-24,1.0727923670549897,1.0840900351366178,1.0205413686581153,1.044548749923706,446913600
2000-03-27,1.036546646252244,1.0902096769846412,1.0308973610413368,1.0511391162872314,279182400
2000-03-28,1.033721394500055,1.0694970445768066,1.0327799644259943,1.0478440523147583,202966400
2000-03-29,1.0497273319492082,1.0501979466156537,1.0079497216397673,1.0238370895385742,239836800
2000-03-30,1.005948330838031,1.037016925773426,0.9447539787006506,0.9471075534820557,414400000
2000-03-31,0.9598176340821118,1.0337216205542439,0.948990683069529,1.0228955745697021,404633600
2000-04-03,1.0205414452822898,1.0506687300264583,0.9748810598940532,1.0040661096572876,328563200
2000-04-04,0.9988879373349104,1.0017121268807372,0.8793227028010518,0.9588759541511536,660329600
2000-04-05,0.9525208054911178,1.0007708625407592,0.933927408386921,0.9819420576095581,457665600
2000-04-06,0.9838249937394455,1.0130100358086576,0.9282781948038621,0.9428715705871582,259627200
2000-04-07,0.9584053233802261,0.9932387405238902,0.9452248994995154,0.9922974109649658,242435200
2000-04-10,0.9918265582567969,0.9998293164974826,0.9395755850443275,0.9414583444595337,212262400
2000-04-11,0.9301614704706798,0.9405167967966318,0.8892072599908538,0.8995634913444519,541822400
2000-04-12,0.8962689650117553,0.8962689650117553,0.7898841773768358,0.8228347897529602,941136000
2000-04-13,0.839781588782407,0.9038009005208845,0.8171863098448083,0.8571982979774475,529827200
2000-04-14,0.823305395874559,0.8887368018583598,0.8209518708009853,0.8426057696342468,667620800
2000-04-17,0.8247185848851916,0.9334569150629842,0.821422824244791,0.9329861998558044,409561600
2000-04-18,0.9301616530670241,0.9555810689926146,0.8990929529072565,0.9555810689926147,390924800
2000-04-19,0.9504025706328243,0.9809996497812798,0.9019171143149416,0.9122733473777771,520150400
2000-04-20,0.9315741899698383,0.9395761485404543,0.8816766612407728,0.8953278064727783,722120000
2000-04-24,0.8661426403462381,0.9075667858123779,0.8642598800521115,0.9075667858123779,443620800
2000-04-25,0.9198053314418447,0.9697028290109744,0.9193346164600307,0.9664071202278137,391641600
2000-04-26,0.9536974453828222,0.9640536792142763,0.9038008459113882,0.9136855602264404,366912000
2000-04-27,0.882617739477292,0.9565226227980559,0.8780280411135737,0.9546389579772949,326603200
2000-04-28,0.9574643454329792,0.9602885362641936,0.9136859182743224,0.9343982934951782,249580800
2000-05-01,0.9405172009191272,0.942400865935787,0.9179228743515828,0.9362809658050537,226195200
2000-05-02,0.9282781545692688,0.950873384934221,0.884971258194767,0.8877954483032227,236432000
2000-05-03,0.8957983746735598,0.9132151386934516,0.840723188070889,0.8666133284568787,489798400
2000-05-04,0.8670838550989937,0.8680252852912343,0.8327202452609455,0.833661675453186,399515200
2000-05-05,0.8346031824798356,0.8642597967115064,0.8338971600074556,0.852020800113678,284076800
2000-05-08,0.8442532824825075,0.8562569708696357,0.8284840238751514,0.8294254541397095,184900800
2000-05-09,0.8308376418270332,0.8378989729499917,0.7898842643311366,0.7941205501556396,327140800
2000-05-10,0.7837640212037228,0.7908253496950528,0.7437520387096722,0.7479891777038574,535091200
2000-05-11,0.7635231490423542,0.7851769954599915,0.7456357267283719,0.7743500471115112,499744000
2000-05-12,0.7983575897836843,0.832249631871274,0.7890599856138293,0.8105965852737427,306913600
2000-05-15,0.8138913315457709,0.8138913315457709,0.7541083100362033,0.7606989741325378,678932800
2000-05-16,0.7871770117541105,0.8214224579743149,0.7738793382203553,0.7960030436515808,440451200
2000-05-17,0.7804690320964306,0.7809397470547043,0.7559909995178221,0.7635230422019958,398092800
2000-05-18,0.7757622974869519,0.7903548181171826,0.7578748715855722,0.7588163018226624,373777600
2000-05-19,0.7475187539683772,0.7475187539683772,0.7032696182145485,0.7079774737358093,740667200
2000-05-22,0.7060944864185542,0.7060944864185542,0.6477235585059442,0.677379310131073,755507200
2000-05-23,0.6816165104649656,0.7032695049446104,0.6448994265537648,0.6463115215301514,517585600
2000-05-24,0.6491355026498318,0.6759670080664387,0.625128135998116,0.6604331135749817,678462400
2000-05-25,0.6665531921762036,0.697856344770185,0.6477235352625313,0.6572555899620056,406750400
2000-05-26,0.6627867968236587,0.6769086515283909,0.6420752326421915,0.6505478024482727,181148800
