Open,High,Low,Close,Volume,Label,TEN,HUNDREAD
36.11405789,36.49865915,34.46027249,35.86406708,53228400,1,0,0
34.94103126,36.03714507,34.53719986,34.65258026,54119000,1,0,0
34.19105536,35.80638081,33.65261354,35.01794815,64059600,0,0,0
34.51797741,35.03718933,33.34494308,33.84492493,54976600,1,0,0
33.42185556,34.53719942,33.01802417,34.28720856,62013600,0,0,0
34.90256064,34.97948089,34.26796863,34.53718948,44963600,1,0,0
34.30644849,35.15257166,33.44109525,33.65262604,46743600,1,0,0
33.38340791,33.49878835,32.13345312,32.55651474,66532400,1,0,0
32.11420624,33.42185057,31.22962332,33.17185974,83144000,0,0,0
32.97955455,35.05640113,32.53726314,34.53718948,73416400,1,34.21221085,0
34.40258568,35.84484053,34.38335561,35.4794693,81483600,1,34.17375107,0
33.9987627,34.30644381,32.6141977,32.92187881,97568200,0,34.00068092,0
32.94110795,33.74877084,32.57573664,32.61419678,56349800,1,33.76030579,0
32.92188063,32.99880091,31.7680764,31.92191696,68416200,0,33.56800499,0
31.93632741,32.51803682,31.01809189,31.15270233,63597600,0,33.25455437,0
31.07577967,31.96036251,30.63348825,31.63345146,59823200,0,32.96418056,0
31.51808089,31.84499204,30.4988873,30.57580757,49365000,1,32.65649872,0
30.73445358,31.13347746,29.92198327,30.38350487,63654800,0,32.43919773,0
30.1911961,30.84501818,29.92197524,30.22965622,58225400,1,32.14497738,0
30.03736235,30.21043294,29.19123946,30.11428261,73194200,0,31.70268669,0
30.306586,31.76807111,30.05659513,31.67192078,70196600,0,31.32193184,0
31.51808446,31.97960614,30.9219523,31.01810265,49915600,0,31.13155422,0
31.40270354,32.0565259,30.80657138,31.88345528,49186000,1,31.05848007,0
32.1142134,33.22955734,32.04210065,32.78726578,55365400,0,31.14501496,0
32.86417441,32.88340447,32.0757419,32.80648422,40005800,1,31.31039314,0
32.74881106,33.84492511,32.74881106,33.82569504,56229000,0,31.5296175,0
33.67185662,33.67185662,31.96038019,31.99884033,55090000,0,31.67192078,0
31.96518195,32.7872674,31.53731292,32.61419678,54527800,1,31.89498997,0
32.26805784,32.26805784,30.49889138,30.74888229,115559000,0,31.94691258,0
31.14790717,31.30655526,30.47966221,30.65273285,81028600,0,32.0007576,0
30.69117489,30.76809512,30.19119334,30.32580376,71027600,0,31.8661459,0
30.53734283,30.8257938,29.88352063,30.03736115,65202600,1,31.76807175,0
30.30659157,30.67196292,29.88833753,30.65273285,80343400,0,31.64499951,0
30.76810918,30.78733925,29.19124359,29.24893379,79063000,0,31.29116631,0
29.26814622,29.88350804,28.55663413,28.86431503,66296200,1,30.89694939,0
28.76818629,29.46046885,28.32589466,28.99894714,75847200,0,30.4142746,0
28.99894949,29.49893138,28.30666687,29.15279007,69733200,0,30.12966957,0
29.13355663,29.13836415,27.84514191,28.09513283,65301400,1,29.67776318,0
27.76822092,28.34512301,27.11439854,28.17205238,76131800,0,29.42008019,0
28.22974518,28.22974518,27.34516188,27.49900246,58437400,1,29.10470715,0
27.57590354,28.9508527,27.3643729,27.94127464,106889800,1,28.86625423,0
28.24895813,29.34507154,28.03742747,28.72970963,106932600,0,28.73548908,0
29.15278045,30.42196482,28.88355952,29.5758419,101435200,0,28.62779999,0
29.53736598,29.96042721,27.72974071,27.88358116,93609400,1,28.49126472,0
29.57582973,29.99889102,28.28741582,28.5758667,135061000,0,28.46241989,0
28.86433289,29.5950755,27.99897981,29.40277481,94290000,0,28.50280266,0
29.32586238,30.7681179,29.22971201,30.7681179,88198800,0,28.66433544,0
30.63348567,31.5372985,30.61425561,31.07577705,85589000,0,28.96239986,0
30.03735819,30.84502083,29.99889807,30.15273857,61831800,1,29.16046848,0
30.34503365,30.53733425,29.26815033,29.26815033,73489200,0,29.33738327,0
29.09509425,29.72968652,28.82587328,29.34508514,53208000,1,29.47776432,0
29.51815576,29.74891659,28.6912628,29.34508514,77300800,1,29.53930187,0
29.30662311,30.61426771,29.07586229,30.57580757,81161600,0,29.63929844,0
30.38350109,30.69118211,29.69121879,29.96043968,47773000,1,29.84698429,0
29.76813564,31.72960194,29.69121539,31.61422157,81648800,1,30.15081978,0
31.63345785,32.49881081,31.11424608,31.76806831,93975800,1,30.38734913,0
32.86419338,34.72951038,32.80650316,34.42182922,148224000,0,30.75272026,0
34.65257141,35.38331376,33.71029838,34.36412048,112196800,0,31.0815546,0
33.15744015,33.30647315,31.97959865,32.01805878,111434000,0,31.26808662,0
31.88344762,33.05648158,31.49884632,32.09497833,81114400,0,31.55076942,0
32.36419878,33.51800266,32.34496872,32.97956085,64363800,0,31.91421699,0
32.67189279,33.42186561,31.53731852,31.80653954,64178400,1,32.16036243,0
32.61421509,33.30649796,32.0373127,32.69113541,64281400,1,32.37189522,0
29.05663172,29.69122394,27.69129694,27.96051788,260118200,0,32.17190304,0
28.17205348,28.30666397,26.13366599,27.24901009,181244400,0,31.73538189,0
27.15285649,27.22977676,26.42211389,26.57595444,82887600,0,31.2161705,0
27.03748108,27.07594122,26.23462557,26.46057892,66421400,1,30.42004547,0
26.7682569,27.49899955,26.15289467,27.4028492,82613600,0,29.72391834,0
27.26824371,27.26824371,26.46058064,26.47981071,60685400,1,29.17009354,0
26.191341,26.47979189,25.69135945,25.80673981,71961800,1,28.54126969,0
25.26830493,25.30676506,24.22988144,24.42218208,153003800,0,27.68553181,0
24.88370789,25.30676938,24.30680585,24.38372612,94316200,1,26.94325047,0
24.34526129,24.46064168,22.53763526,22.80685616,151217800,0,25.95482254,0
22.84532081,23.38376272,22.46071945,23.34530258,119772200,0,25.49330101,0
23.53759594,25.21061134,23.34529532,24.78754997,91794600,0,25.247155,0
25.05677424,25.07600431,24.03758082,24.2106514,53715400,0,25.0106247,0
