Open,High,Low,Close,Volume,TEN,HUNDREAD
57.08824647,58.89704514,56.80264924,58.89704514,10823694,0,0
57.88153675,58.13540345,56.29487184,56.89780426,8606279,0,0
57.34211338,60.80104693,56.92958269,58.89704514,13318927,0,0
59.91246412,60.38846317,57.62766788,57.88153458,8338607,0,0
59.53171385,59.88077984,56.16798335,57.62771606,12402108,0,0
59.53169821,60.61063027,58.57969956,59.91249847,8933363,0,0
59.8490325,61.49916291,59.2143654,60.42023087,8235472,0,0
60.7375522,61.94341746,60.03942053,60.67408752,7116775,0,0
60.89622052,61.43568848,58.77008708,60.03942108,8880226,0,0
61.40393086,62.60979568,59.65859829,60.73752975,11460604,59.19849129,0
60.76928038,60.80101474,58.38928446,58.77008057,7995519,59.18579483,0
58.67488751,61.94341746,57.21515545,60.67408752,9031687,59.56342316,0
62.45116153,63.33969547,60.42023087,60.42023087,18601436,59.71574173,0
61.87995802,62.45115634,60.89622512,61.68955994,8230660,60.09654427,0
61.87995802,62.38769166,59.18262612,61.68955994,6798163,60.50272865,0
59.27782677,60.67409431,58.89702654,60.48369217,7255997,60.55984802,0
60.45197111,60.89623609,58.89703555,59.27783585,5120275,60.44560852,0
59.91251422,60.13464675,56.67571717,57.62771606,8707532,60.14097137,0
57.24688398,57.97674994,55.8823511,56.64395142,6976192,59.80142441,0
56.54875805,57.27862408,55.66022426,56.99302292,6488024,59.42697372,0
57.05648938,57.59595735,55.4063592,55.85062408,7640716,59.13502808,0
56.86611533,58.80184749,56.04104989,57.62771606,8062254,58.83039093,0
58.38928045,59.65861017,57.91327725,59.46821213,6499635,58.73518906,0
60.0077108,60.13464425,58.29411124,58.70664597,5653944,58.43689766,0
58.89704821,59.34131734,57.43731545,57.94504929,6045357,58.06244659,0
59.43550344,60.48380707,59.05430654,60.38850784,5715658,58.05292816,0
60.48381231,60.8650133,59.46727636,59.65787888,5621936,58.09093246,0
59.81672507,60.54735947,59.40376028,60.54735947,4651144,58.3828968,0
60.5155911,60.7061896,58.22838479,58.64135361,6013872,58.58263702,0
58.95901211,59.14961464,58.19661415,58.99077988,4753024,58.78241272,0
58.89548012,59.68964583,57.87894411,59.53081512,5415665,59.15043182,0
59.21314451,59.62611327,58.57780951,58.83194351,4149377,59.27085457,0
59.2131658,60.4203007,58.83196467,59.34023285,5478425,59.25805664,0
58.57782126,58.92725862,56.67181994,57.18008804,8026376,59.10540085,0
56.92592762,57.65656166,55.27406112,56.41765976,8006921,58.9526619,0
56.16353172,56.16353172,55.14699995,55.27406693,7777324,58.4412178,0
55.30586872,56.41770454,54.98820308,56.1635704,9531152,58.09178696,0
55.84589556,55.84589556,53.33632242,54.89289474,10786561,57.52634048,0
53.17748054,54.13048116,52.82804726,53.11394501,8869975,56.97359962,0
53.65398451,53.65398451,51.30324653,52.22448349,10967205,56.29696999,0
51.84327693,53.62221107,50.85850858,50.95380783,11304959,55.43926926,0
51.08087185,53.59044017,50.57260382,52.41507339,11707773,54.79758224,0
54.51169361,55.90942705,53.90812616,54.89289474,10630289,54.35284843,0
55.8776696,56.41770156,51.33502728,52.38332748,11241780,53.87317238,0
53.8763673,54.38463557,51.68446344,52.3515625,10496715,53.46656265,0
52.35153551,54.321072,52.22447257,54.00340652,8761714,53.33949661,0
54.13049247,54.89289474,52.92335757,54.89289474,6625469,53.21242905,0
54.70227069,55.40113714,53.36806927,53.49513626,7419487,53.0726532,0
52.8598021,55.401138,52.09740417,54.73403931,8233066,53.23466263,0
54.76584235,55.90944201,54.57523971,55.2105751,8340490,53.53327179,0
54.63876623,55.0199674,53.93989538,54.38463211,5926531,53.87635422,0
55.40113068,55.81409938,54.82933129,55.40113068,6927135,54.17495995,0
55.0199436,56.76710983,54.73404183,55.90940857,9264736,54.27661133,0
55.9094146,57.62481731,55.87765089,57.30715179,6865421,54.76899376,0
57.33893257,58.29193339,56.89419588,57.68836594,7083094,55.3026741,0
58.19662039,58.64135292,57.87895082,58.06955338,6420139,55.70928879,0
58.89552009,58.89552009,56.73538366,58.57785034,6791050,56.07778435,0
58.64135026,62.13568696,58.48251548,61.30975342,12683378,56.85924606,0
63.53344927,65.185317,63.34284665,64.4864502,12408593,57.83448715,0
63.91462363,64.54995867,62.04038628,62.26275253,8524482,58.5397049,0
62.16746461,62.23100015,60.22969544,60.4838295,7648666,59.14962463,0
60.42026872,62.51687182,60.3249695,62.38980484,9579268,59.84849205,0
