Open,High,Low,Close,Volume,Label,TEN,HUNDREAD
0.09027603,0.090992273,0.084304886,0.089439645,300912000,0,0,0
0.087887025,0.088126378,0.082633039,0.087051556,300480000,0,0,0
0.084544254,0.085976741,0.082991626,0.084185675,188352000,0,0,0
0.084185687,0.084185687,0.075468787,0.078692347,120480000,0,0,0
0.078334671,0.08084198,0.077140622,0.080006517,71184000,1,0,0
0.080244944,0.085976727,0.078812457,0.082633033,239856000,0,0,0
0.082155258,0.083110861,0.079289362,0.079289362,148128000,0,0,0
0.079289349,0.079409491,0.076185016,0.077259839,123552000,1,0,0
0.077140621,0.081200558,0.076185017,0.080483399,132192000,1,0,0
0.081678383,0.087290027,0.081439023,0.083946332,604560000,0,0.082298771,0
0.08502113,0.087887025,0.081200553,0.087529361,261648000,0,0.082107742,0
0.087887037,0.087887037,0.085976746,0.086692989,164688000,1,0.082071885,0
0.087410129,0.092186309,0.085738282,0.086454526,179568000,1,0.082298771,0
0.086215187,0.086573767,0.083349292,0.085498944,544272000,0,0.08297943,0
0.088245607,0.088245607,0.081200555,0.081678361,256944000,0,0.083146615,0
0.082036013,0.082872397,0.078334662,0.08096119,237120000,0,0.08297943,0
0.080961197,0.08311085,0.076185017,0.077617504,232464000,1,0.082812245,0
0.078214541,0.078214541,0.07069169,0.073557585,458208000,0,0.082442019,0
0.072602879,0.073080677,0.068542942,0.071408831,194448000,0,0.081534562,0
0.071766504,0.073319132,0.066871105,0.070811823,182400000,0,0.080221111,0
0.070931066,0.073080712,0.068303615,0.072482772,92976000,1,0.078716453,0
0.072841342,0.075946599,0.072482763,0.074513189,149040000,0,0.077498473,0
0.076901261,0.078453889,0.075229414,0.07570722,108240000,1,0.076423742,0
0.078095304,0.078095304,0.075946574,0.07749828,123696000,1,0.075623676,0
0.077856883,0.077856883,0.072602903,0.072722122,217488000,1,0.074728052,0
0.074513164,0.078812461,0.072602879,0.07618501,468816000,1,0.074250434,0
0.079050921,0.080364188,0.077976098,0.078095317,589056000,1,0.074298215,0
0.082872402,0.09553001,0.082872402,0.094096608,970080000,0,0.076352117,0
0.098753555,0.098873697,0.088604179,0.095530003,423792000,1,0.078764234,0
0.095768474,0.110814176,0.094812871,0.110814176,650112000,0,0.08276447,0
0.111053515,0.111172734,0.101978037,0.106515773,450480000,1,0.08616777,0
0.107709819,0.115113449,0.10651577,0.111411169,1019568000,0,0.089857568,0
0.11129197,0.116069067,0.109620123,0.115351908,535776000,1,0.093822037,0
0.113680053,0.130398516,0.112844591,0.128726676,960864000,0,0.098944876,0
0.124666727,0.126337651,0.120367422,0.125143602,542496000,0,0.104187024,0
0.12371112,0.127174033,0.122158499,0.125860766,511392000,0,0.1091546,0
0.12657702,0.127412482,0.119411827,0.124666728,244320000,1,0.113811741,0
0.12478594,0.12478594,0.111769752,0.116904505,278736000,1,0.116092531,0
